28
Akron
Bismarck
Bloomington
Chicago
Cincinnati
Columbus
Dayton
DesMoines
Detroit
Evansville
FortWayne
Gary
GrandRapids
Indianapolis
Kalamazoo
Louisville
Milwaukee
Minneapolis
Nashville
Omaha
Pierre
Saginaw
SouthBend
SaintLouis
TerreHaute
Toledo
Winnepeg
Youngstown
0 5 114
0 25 137
0 27 38
1 7 670
1 16 758
1 17 427
1 19 581
1 20 211
1 26 369
2 9 119
2 10 174
2 11 198
2 13 51
2 22 198
2 24 58
3 15 269
3 16 74
3 17 355
3 23 262
4 5 80
4 6 30
4 8 230
4 13 115
4 15 83
5 6 70
5 25 110
6 13 100
6 25 120
7 16 361
7 17 252
7 19 132
7 20 492
7 26 680
8 12 147
8 14 135
8 15 306
8 21 98
8 25 58
9 10 190
9 11 277
9 13 168
9 22 303
9 24 113
10 11 132
10 13 121
10 22 79
10 24 201
11 13 153
11 22 58
11 24 164
12 14 56
12 21 113
12 25 167
13 14 120
13 22 140
13 24 71
14 21 137
14 25 133
15 16 348
15 18 151
15 23 242
16 17 332
16 19 493
16 20 690
16 26 759
17 18 695
17 19 357
17 20 394
17 26 431
19 20 391
19 26 650
20 26 521
21 25 142
22 24 196
-1 0 0
